artist_id	count
133830	812
58406	786
7899	700
35615	675
40662	640
69495	600
35588	585
53924	575
66016	561
22747	537
53244	533
35557	529
86554	523
40631	521
15031	503
20813	493
218360	483
40755	482
112229	479
35826	478
22605	475
585	472
80710	471
71758	467
9151	467
46688	467
7643	466
15700	463
47387	460
28397	456
19680	456
35366	456
23340	455
70540	451
43820	447
606	446
28403	444
13276	439
15611	427
65788	425
790	424
45029	424
22734	422
3597	421
238856	421
15124	418
4896	415
3468	414
135978	409
3323	408
13559	408
57344	406
43271	406
47567	405
93584	404
34186	404
48997	402
43268	400
40611	399
33977	397
27237	395
45145	395
65795	392
89140	391
14464	391
9374	390
10335	390
22841	390
36380	389
76552	388
58389	388
32067	387
31543	383
130478	381
724	381
116350	376
104470	376
1221	375
3478	373
16123	373
63550	372
48773	371
53913	370
75114	370
34482	367
26357	367
110587	367
50802	365
40613	365
67801	365
14866	364
14916	363
14471	363
15370	363
17298	362
27151	362
13270	362
123590	360
7157	359
22765	359
15193	358
44956	358
2285	356
15105	356
140441	355
48594	355
35954	355
158	355
13861	354
15127	354
50320	353
33732	352
40981	350
4133	350
10718	349
989	349
108908	349
13254	346
405852	345
13408	345
50678	345
32556	344
6427	342
28905	342
18151	341
66148	338
124102	337
67107	336
35663	336
121558	335
40672	334
40675	334
7074	333
58302	332
56003	332
77501	331
14851	330
78707	330
67118	328
12328	328
16125	328
93453	327
16304	326
17026	326
15057	325
81752	325
26525	325
71802	324
22882	323
10032	323
171620	322
14211	321
6755	321
6185	321
8169	321
971	320
26029	320
50112	320
50746	319
27757	319
15201	319
15922	319
24829	319
14766	317
160494	317
73907	317
28535	316
14407	316
15399	316
27528	316
57837	315
60957	314
11832	314
6388	314
15038	312
5798	312
13035	311
22830	311
44938	311
66021	311
46995	310
348	310
54957	310
89614	309
30002	308
73161	307
45944	306
76774	306
44834	306
50923	305
19209	305
2970	305
34180	305
26579	305
15267	304
16521	304
34281	303
8449	303
16153	302
20751	302
34917	302
3984	302
81339	301
49141	300
80686	299
66206	299
35478	299
55490	298
15083	297
70908	297
40657	297
33751	297
36639	295
25693	295
36358	295
26732	293
2086	293
21943	292
15672	292
3378	292
45903	292
67343	292
70171	291
256059	291
34453	290
51369	290
9111	290
82909	290
55588	290
14038	290
81122	289
187615	289
47241	289
35751	289
69409	288
684	287
33484	287
9517	287
69372	287
86585	287
4041	286
135805	286
303	286
44827	286
33779	285
30093	285
40275	285
9811	285
35666	285
154785	283
13956	283
46677	283
42530	282
88666	281
15070	281
32237	281
40667	281
22432	280
28548	280
28888	280
50585	280
15037	279
13504	279
83192	278
26025	278
18083	277
50897	277
72912	275
40246	275
46466	275
13743	275
91338	274
113111	274
39477	273
60798	273
15815	273
15100	272
13889	272
10295	272
24587	272
8693	272
15035	272
93769	271
83568	271
13973	271
5757	271
44279	270
242	270
582	270
23928	270
16585	270
18828	270
58209	270
22060	270
91329	269
488	269
41225	269
10434	269
46728	269
16252	269
13749	269
46821	268
15396	267
10563	267
39037	266
53258	266
14103	266
48820	266
46731	266
43546	266
18969	266
18660	265
18993	265
216397	265
32045	264
16651	264
