user_id	country	age	gender
49279959	28	f	ES
46140219	26	m	US
19262439	25	m	BR
5974057	22	m	DE
8496608	23	m	RU
20642568	22	f	US
37505807	21	m	IN
14302761	21	m	BR
45813477	21	m	RU
5630569	25	f	PL
49397378	21	m	NL
10105506	27	m	RU
9789921	21	m	US
40499092	19	m	RU
26867943	21	m	RU
23940094	25	m	PL
7934108	24	m	US
12123509	30	m	BR
31961033	24	m	US
45999574	21	f	DE
47660770	26	m	US
3375012	19	m	CZ
5855962	25	m	US
4864154	35	m	US
25640404	19	m	BR
47079458	20	m	BR
48433230	34	m	US
13734790	16	f	PL
10902681	21	m	RU
31082456	26	m	UK
12804916	23	f	ES
6519221	27	m	US
29833432	36	m	US
10737613	32	m	PT
1070642	31	m	UK
15503736	23	m	US
6600476	24	f	FI
42563357	24	m	DE
48437113	34	m	US
34362040	21	f	PL
35741450	21	m	BY
9060667	27	m	RU
3232953	29	m	RU
29555342	22	m	RU
10026400	25	f	TR
30682449	18	f	PL
49652268	27	f	FI
40425632	28	m	DE
36337653	19	f	PL
45414615	19	m	US
28018398	23	m	DE
6656548	28	m	UK
9214577	28	m	DE
5171501	27	m	US
37292282	29	m	PL
9026133	39	m	UK
41208788	16	f	US
2429132	32	m	SE
34228841	36	m	UK
48311340	19	m	DE
36842832	20	f	HU
9529455	22	m	PL
47959042	23	m	LT
49423375	42	m	DE
6683652	21	m	US
39091791	20	m	DE
7333145	24	m	US
30300107	29	m	DE
9019624	32	m	UK
38746117	22	m	RU
34056231	20	f	BY
5177798	25	m	US
2059685	32	m	DE
46027502	41	m	DE
37893192	28	m	BR
15881877	24	f	US
21905567	27	m	IT
16474498	31	f	TR
4749851	26	m	NL
2074151	28	m	PL
49408639	23	m	PL
8917165	18	f	US
48100980	21	m	US
48017764	36	m	US
5024733	25	m	AU
2072651	29	m	US
48562188	28	m	US
16063192	25	m	US
42819648	19	m	CA
49495166	23	m	PL
5727948	26	m	US
28062676	42	m	DE
16533648	20	m	US
35437158	21	m	PL
16209386	27	m	BE
49482800	23	m	US
3440053	24	m	PL
27385644	18	f	US
37212184	19	f	UK
