artist_id	count
368	35036
1602	21923
46	18314
1648	17673
4081	16888
153	16359
4115	16066
295	15941
135	14423
137	14313
27	13502
16	13315
402	13246
54	13111
9718	12916
499	12495
1092	12235
379	12134
266	11914
504	11346
140	11130
227	10989
185	10619
924	10540
353	10214
4083	10144
301	10122
1339	9968
691	9864
245	9292
1807	9217
1705	9202
2923	9196
289	9164
3137	8993
355	8964
406	8954
350	8938
2988	8934
238	8920
461	8876
1426	8845
405	8842
99	8696
55	8660
425	8623
470	8474
2732	8460
45	8425
4175	8353
4206	8328
5215	8197
10028	8146
3	8099
290	8083
28	8031
132	8012
172	8002
32	7999
1703	7886
424	7803
3026	7660
57	7647
347	7622
4207	7417
79	7378
3059	7265
320	7257
3732	7221
4117	7203
1677	7196
2937	7170
1666	7131
3887	7115
2442	6947
2353	6827
2539	6784
326	6757
240	6736
1873	6723
163	6679
689	6676
1514	6654
12986	6587
5619	6586
1671	6496
1651	6417
1793	6367
3019	6362
471	6360
3095	6318
249	6205
3724	6201
3744	6128
16889	6100
279	5954
308	5938
520	5891
5175	5867
840	5811
283	5776
1700	5712
2492	5690
2824	5674
6004	5656
17	5643
16888	5512
3253	5484
3975	5433
2487	5423
1763	5416
1696	5383
139	5338
4035	5313
2570	5303
374	5225
2123	5209
330	5153
4091	5152
2590	5139
148	5095
2266	4935
3031	4929
2596	4908
2758	4892
141	4871
145	4847
676	4812
3727	4767
93	4767
1894	4747
2558	4745
259	4692
85	4690
2436	4673
438	4594
14596	4593
5842	4574
548	4546
67	4537
16900	4534
3138	4524
4726	4497
19202	4480
4343	4461
3841	4449
4370	4443
1626	4405
2478	4404
4118	4379
3954	4378
329	4363
4482	4351
1760	4337
8671	4317
13715	4316
9716	4296
248	4288
2762	4285
1899	4282
8696	4271
16053	4271
3136	4255
417	4249
7463	4245
10004	4225
1708	4224
10046	4220
9466	4205
4112	4186
3079	4164
2563	4156
82	4151
5974	4089
13243	4089
1649	4087
2733	4061
1947	4047
2354	4029
129	4002
17503	3977
7255	3962
4247	3903
9701	3887
2437	3884
466	3853
4082	3846
190	3819
8821	3804
991	3789
105	3776
1650	3775
6375	3747
1358	3746
19681	3745
4672	3691
1935	3684
2768	3653
530	3640
4171	3635
686	3632
578	3597
6852	3593
1605	3574
5504	3573
3750	3553
6138	3536
269	3487
4624	3482
9637	3480
16308	3468
3085	3465
543	3463
44	3462
362	3440
6395	3416
6234	3402
192	3400
12187	3388
8039	3387
2782	3384
1687	3382
722	3376
482	3361
60024	3352
4249	3349
114	3334
4567	3333
1466	3309
182	3261
6130	3259
2549	3244
171	3243
1680	3242
1664	3241
2940	3240
3731	3238
549	3229
2730	3222
3837	3219
4038	3169
4719	3163
4377	3157
6773	3156
13719	3155
3915	3149
8040	3140
351	3115
14365	3106
39	3105
4250	3077
3130	3067
9	3052
4	3041
6872	3018
978	3017
13253	3014
453	3006
3695	3000
272	2995
2559	2993
4603	2979
2726	2977
10006	2968
1359	2961
9529	2960
7952	2957
844	2953
869	2940
1701	2939
1285	2936
13285	2931
4614	2915
43	2904
6668	2888
9642	2887
4558	2884
9557	2881
2552	2877
3960	2868
16428	2860
2932	2846
13	2841
15003	2832
872	2816
2748	2816
