artist_id	counts
25150	484
46878	478
41726	439
17497	363
462737	342
38536	335
18768	319
172993	305
15076	294
5733	288
306762	282
17504	282
15714	279
1843	277
56186	274
13631	271
53069	269
335	259
13635	248
42072	247
96363	240
59059	233
16305	232
58507	228
46862	219
18771	218
18334	215
58525	213
58910	211
43399	208
11110	201
20655	200
40383	193
58727	191
46469	186
58917	186
364657	183
59053	179
58529	171
59020	171
23741	170
17654	168
58980	159
4128	157
58610	154
56003	152
58726	150
124626	149
13633	148
18353	148
9892	146
58583	145
11108	142
3100	140
53913	139
311108	137
39798	136
386666	136
43796	136
82289	135
27434	135
20622	134
34695	133
40431	133
51589	130
92712	128
68111	126
56425	125
58648	121
40379	121
13632	121
66206	120
40435	118
139124	118
237141	115
33722	115
17517	114
58941	114
58266	114
58536	114
34478	114
22786	114
36219	111
35865	110
53118	110
34563	109
62478	109
35992	109
40566	107
14126	107
9386	104
40378	103
135098	103
52474	102
35351	102
5667	102
28503	100
548671	100
50312	98
34705	96
26025	96
58535	95
191546	95
40432	94
123340	94
50902	92
9715	92
19020	91
117361	91
197276	91
58519	91
29190	90
149304	90
41271	89
46561	89
147553	89
40685	89
34707	89
16332	88
11106	87
46865	87
58526	87
18099	87
41998	86
27268	85
42165	85
2970	84
31537	83
34694	82
4259	82
56336	82
58656	82
422737	81
68046	79
95482	79
20584	78
2704	77
147753	76
58996	76
18752	75
51743	75
190007	74
18335	74
40459	74
17104	73
58506	73
65680	73
24513	72
6275	71
58587	71
18754	71
133	71
201805	71
49504	71
49214	70
58825	70
39797	69
66148	69
17516	69
8648	69
53854	69
5777	68
58523	67
107310	67
16563	66
15130	65
30989	65
36402	65
3378	65
28080	65
17512	65
13501	65
42626	65
58614	64
10570	64
38817	64
613	64
180316	64
51277	64
44781	63
86661	63
26559	63
281744	62
1097544	62
168827	62
187939	62
336744	62
13277	62
5210	62
14072	62
63271	62
50955	61
72429	61
58147	61
87564	61
59019	61
172042	60
13030	60
58448	60
42997	59
