artist_id	counts
28906	1093
69904	1083
70017	1074
29245	1062
51514	1031
34186	1019
68338	1008
35557	1002
35615	994
25097	986
69470	977
71758	971
34228	964
66173	959
52587	958
76615	914
34071	908
12772	907
52194	897
22605	889
48724	878
69706	875
35592	868
30001	867
35609	866
22628	865
124911	864
26	861
228	854
34223	853
34108	825
30059	818
10169	815
48684	811
29605	803
48658	801
52232	794
15	792
72325	789
162720	785
107990	785
35616	772
48618	771
32178	767
33915	767
91225	764
46747	750
69495	732
48712	728
28776	722
48611	721
48783	718
267	714
33977	709
69415	708
1886	695
161	691
36323	689
22669	689
76552	680
29102	677
22682	675
242	675
51957	654
150535	652
48675	641
34199	640
35367	638
724	635
69483	633
35366	632
34250	627
158	627
69745	623
77732	623
40002	617
71222	614
52840	607
78204	607
303	606
72521	603
96890	589
22757	588
4762	586
35666	578
60329	578
69404	573
69844	560
2872691	553
35591	546
36271	537
115472	537
488	525
6833	517
52817	517
52172	514
48822	514
23	511
688	508
5794	504
34183	500
48773	497
67657	495
68298	494
116822	493
108923	489
35558	487
78293	481
69251	481
35594	478
34010	475
33916	472
154915	469
48774	468
68296	466
60242	465
48806	455
48771	455
22688	455
95478	455
23899	454
69452	446
46028	440
29002	438
29537	436
77095	436
29357	434
281433	425
123472	417
34106	415
169615	415
85320	414
91220	413
54167	413
39210	412
68872	410
70021	409
68762	406
48820	405
319337	403
35608	401
5757	400
32692	399
70163	396
92199	394
81439	393
48746	390
4415	386
70908	385
38190	385
29103	385
69413	384
70227	383
108981	383
48699	379
237204	379
48763	378
945667	378
503	377
3081	376
35543	376
69903	373
60820	372
61139	371
70333	370
69409	366
96938	365
109780	363
76846	362
253580	359
53459	358
28995	358
101302	356
110850	354
131608	348
69689	348
68399	347
235131	346
48445	345
17734	344
70346	337
35593	335
103312	335
48723	334
29271	331
20061	330
8994	325
48876	324
68322	323
115542	322
48736	319
48443	318
56930	316
70096	314
52191	312
23928	308
28946	308
366458	307
96891	305
91366	305
