	artist_id	count
0	7	7061
1	301	5593
2	27	5521
3	1535	5490
4	1602	5392
5	54	5386
6	2558	4720
7	46	4562
8	104486	4396
9	320	4292
10	368	4235
11	6234	4060
12	1339	4020
13	4081	3984
14	438	3926
15	269	3877
16	153	3584
17	504	3549
18	67	3533
19	266	3404
20	145	3387
21	283	3344
22	32	3331
23	71802	3240
24	141	3238
25	4112	3224
26	4115	3203
27	117856	3119
28	172	3060
29	3	2904
30	55	2870
31	227	2853
32	470	2847
33	99013	2804
34	279	2740
35	135	2732
36	4	2731
37	15053	2723
38	1677	2683
39	379	2623
40	1358	2616
41	16470	2595
42	104498	2585
43	249	2571
44	7904	2571
45	1671	2559
46	425	2544
47	7403	2508
48	4227	2471
49	461	2449
50	3915	2442
51	3642	2340
52	5755	2336
53	5608	2303
54	33751	2284
55	6205	2270
56	374	2253
57	402	2238
58	1651	2227
59	1426	2211
60	1648	2209
61	8852	2187
62	171	2159
63	2353	2150
64	140	2144
65	1514	2130
66	32869	2129
67	2868	2125
68	104173	2096
69	248	2078
70	25	2049
71	2437	2048
72	8	2035
73	4377	2018
74	1666	2011
75	15338	1993
76	14528	1988
77	4035	1974
78	3711	1966
79	9111	1950
80	7339	1937
81	32216	1917
82	15111	1904
83	9280	1890
84	2866	1872
85	33207	1868
86	7487	1866
87	3153	1851
88	4181	1848
89	16151	1834
90	118089	1812
91	2267	1808
92	458	1802
93	15110	1791
94	4206	1756
95	1793	1749
96	1605	1736
97	29	1733
98	7395	1731
99	10028	1729
100	132	1716
101	8649	1714
102	9716	1712
103	521	1705
104	924	1702
105	5571	1677
106	8853	1671
107	99002	1667
108	471	1636
109	405	1611
110	45	1608
111	88360	1607
112	8948	1606
113	810	1593
114	2807	1581
115	2539	1579
116	4558	1577
117	6872	1575
118	4023	1574
119	4175	1572
120	245	1557
121	50150	1553
122	17643	1551
123	1958	1547
124	104175	1544
125	9064	1537
126	334	1528
127	104174	1513
128	295	1512
129	6395	1505
130	1705	1502
131	3886	1502
132	1680	1499
133	147742	1486
134	79	1485
135	9637	1484
136	8039	1449
137	185	1445
138	262	1439
139	4170	1437
140	16844	1436
141	13243	1424
142	177	1422
143	7397	1420
144	95776	1420
145	16	1416
146	6256	1412
147	32998	1393
148	5778	1379
149	13	1369
150	40	1359
151	30627	1350
152	182794	1349
153	1915	1342
154	78201	1342
155	117855	1340
156	8040	1339
157	91605	1332
158	6766	1326
159	272	1316
160	4310	1312
161	1708	1312
162	116350	1304
163	16881	1304
164	6322	1295
165	9178	1291
166	2730	1288
167	3044	1285
168	4118	1285
169	872	1281
170	43	1280
171	275	1268
172	3734	1257
173	4455	1253
174	1873	1252
175	238	1246
176	14841	1243
177	2758	1238
178	489	1224
179	384	1223
180	2478	1220
181	9804	1220
182	99	1217
183	691	1214
184	6230	1206
185	14776	1206
186	2689	1204
187	263100	1197
188	3916	1194
189	289	1193
190	8122	1190
191	12701	1188
192	9486	1187
193	11224	1182
194	689	1181
195	424	1179
196	14726	1171
197	52	1164
198	517	1158
199	1696	1156
200	8030	1147
201	15098	1147
202	362	1141
203	33208	1139
204	28	1138
205	71	1137
206	19	1136
207	2768	1135
208	14998	1120
209	1763	1119
210	8010	1118
211	166	1113
212	6067	1104
213	100130	1103
214	5884	1094
215	14806	1083
216	147734	1080
217	42891	1077
218	3909	1065
219	13198	1063
220	93	1059
221	8891	1058
222	259	1055
223	105	1055
224	2492	1049
225	33559	1048
226	15000	1047
227	8890	1046
228	56	1045
229	27747	1044
230	6199	1040
231	33484	1036
232	235351	1034
233	12987	1032
234	2442	1030
235	122211	1026
236	28545	1025
237	1807	1010
238	41370	1008
239	67086	1006
240	117858	998
241	14825	998
242	290	995
243	8035	995
244	876	993
245	7317	992
246	421	990
247	197873	987
248	20895	986
249	13253	969
250	366	967
251	417	967
252	8802	958
253	360	958
254	1092	951
255	59	951
256	4779	951
257	114	948
258	6844	944
259	9789	938
260	3027	936
261	139	936
262	104172	929
263	194	925
264	508	918
265	37	916
266	10179	915
267	148	911
268	2590	911
269	10166	911
270	467	910
271	110	908
272	4083	908
273	6290	900
274	33	897
275	4082	897
276	4399	897
277	801	897
278	18780	896
279	163	894
280	2436	889
281	174000	888
282	20	888
283	4005	887
284	15116	886
285	3424	885
286	86	885
287	686	883
288	243	882
289	4207	882
290	69	876
291	1935	875
292	207	872
293	30	870
294	1607	869
295	28743	865
296	1144	858
297	4778	857
298	1998	857
299	111	856
300	3885	855
301	15810	853
302	8110	846
303	6668	844
304	104799	841
305	280448	832
306	2030	830
307	129	829
308	1969	828
309	8233	828
310	4126	827
311	4564	826
312	6138	824
313	42198	821
314	8597	818
315	15334	815
316	328741	815
317	520	812
318	1	812
319	56345	808
320	157818	805
321	361	804
322	1760	801
323	23182	800
324	147799	798
325	3732	797
326	2235	792
327	7047	791
328	2287	790
329	6045	790
330	3103	790
331	1664	786
332	84	785
333	429	784
334	383	783
335	10265	780
336	2596	779
337	2683	778
338	7661	777
339	8187	772
340	147762	770
341	4726	767
342	3026	766
343	4111	765
344	2111	760
345	7644	759
346	270	757
347	4843	751
348	3975	750
349	5891	750
350	147771	749
351	137	749
352	1991	748
353	182539	747
354	416515	745
355	4596	743
356	9952	743
357	4247	741
358	94642	739
359	51012	739
360	466	739
361	182548	735
